GrainSize,C,Mn,Si,Ni,Cr,Mo,W,As,V,Cu,t85,HV_total
6.0,0.34,0.93,0.95,0.27,0.99,0.0,0.0,0.0,0.0,0.22,73.892,514.94
5.0,0.28,0.86,1.16,0.27,0.86,0.0,0.0,0.0,0.0,0.29,3.465,563.095
6.0,0.33,0.94,1.02,0.26,1.02,0.0,0.0,0.0,0.0,0.24,10.691,597.331
7.0,0.32,1.0,1.03,0.14,1.03,0.0,0.0,0.0,0.0,0.17,8.961,591.81
6.0,0.3,1.0,1.13,0.19,0.87,0.0,0.0,0.0,0.0,0.19,17.762,558.812
7.0,0.31,0.98,1.03,0.28,0.93,0.0,0.0,0.0,0.0,0.16,15.601,571.583
6.0,0.33,1.05,0.93,0.14,0.98,0.0,0.0,0.0,0.0,0.1,4.324,602.729
5.0,0.32,0.83,0.91,0.12,1.05,0.0,0.0,0.0,0.0,0.29,3.977,593.271
5.0,0.32,0.85,1.03,0.13,0.92,0.0,0.0,0.0,0.0,0.22,3.793,594.555
7.0,0.33,0.97,1.08,0.28,1.02,0.0,0.0,0.0,0.0,0.27,9.251,600.132
7.0,0.33,0.87,1.19,0.23,0.96,0.0,0.0,0.0,0.0,0.11,7.603,605.202
6.0,0.32,0.89,0.91,0.29,0.92,0.0,0.0,0.0,0.0,0.11,3.616,593.477
7.0,0.31,1.0,1.18,0.13,0.87,0.0,0.0,0.0,0.0,0.2,4.702,588.044
6.0,0.31,0.89,1.17,0.18,0.89,0.0,0.0,0.0,0.0,0.1,32.751,516.127
7.0,0.33,0.83,1.2,0.29,1.05,0.0,0.0,0.0,0.0,0.15,6.304,606.455
6.0,0.33,1.05,0.95,0.11,0.81,0.0,0.0,0.0,0.0,0.22,3.284,602.819
5.0,0.3,0.8,1.2,0.29,0.92,0.0,0.0,0.0,0.0,0.18,4.053,580.959
5.0,0.29,1.0,1.03,0.16,0.93,0.0,0.0,0.0,0.0,0.23,217.391,304.079
6.0,0.32,1.08,1.15,0.21,0.92,0.0,0.0,0.0,0.0,0.11,6.639,595.252
7.0,0.31,0.85,1.07,0.1,1.03,0.0,0.0,0.0,0.0,0.15,3.396,589.3
7.0,0.28,0.94,0.99,0.13,0.95,0.0,0.0,0.0,0.0,0.12,3.171,560.52
6.0,0.31,1.1,1.1,0.26,0.92,0.0,0.0,0.0,0.0,0.23,7.106,585.077
6.0,0.3,1.07,1.02,0.26,1.08,0.0,0.0,0.0,0.0,0.27,8.078,575.129
6.0,0.31,1.09,1.19,0.1,0.86,0.0,0.0,0.0,0.0,0.27,7.446,586.507
6.0,0.3,0.87,1.11,0.27,0.86,0.0,0.0,0.0,0.0,0.24,12.102,564.162
6.0,0.28,0.92,0.94,0.18,0.84,0.0,0.0,0.0,0.0,0.15,25.489,477.334
5.0,0.3,0.96,1.0,0.25,0.95,0.0,0.0,0.0,0.0,0.21,5.277,575.102
6.0,0.33,0.92,0.95,0.15,0.88,0.0,0.0,0.0,0.0,0.14,8.547,596.031
7.0,0.31,0.91,1.03,0.21,0.88,0.0,0.0,0.0,0.0,0.17,3.883,586.153
7.0,0.31,0.91,0.98,0.3,0.91,0.0,0.0,0.0,0.0,0.23,3.825,586.142
7.0,0.31,0.94,0.99,0.24,0.99,0.0,0.0,0.0,0.0,0.15,3.42,588.549
5.0,0.32,0.93,0.94,0.2,1.03,0.0,0.0,0.0,0.0,0.2,4.113,594.586
6.0,0.28,0.93,1.09,0.23,0.98,0.0,0.0,0.0,0.0,0.27,4.671,560.295
6.0,0.34,1.03,0.98,0.21,1.05,0.0,0.0,0.0,0.0,0.29,3.27,616.85
5.0,0.29,1.03,1.0,0.22,0.9,0.0,0.0,0.0,0.0,0.22,5.122,566.23
5.0,0.32,1.1,1.17,0.18,0.81,0.0,0.0,0.0,0.0,0.17,9.467,590.807
6.0,0.32,0.86,1.19,0.21,0.86,0.0,0.0,0.0,0.0,0.2,5.177,595.82
7.0,0.33,0.98,0.92,0.19,0.89,0.0,0.0,0.0,0.0,0.14,96.463,353.648
5.0,0.32,0.89,1.11,0.14,1.07,0.0,0.0,0.0,0.0,0.22,5.202,596.74
7.0,0.29,1.09,1.02,0.28,0.8,0.0,0.0,0.0,0.0,0.26,17.71,542.317
7.0,0.31,0.88,0.93,0.23,0.9,0.0,0.0,0.0,0.0,0.19,21.157,538.512
6.0,0.31,0.91,0.97,0.21,0.82,0.0,0.0,0.0,0.0,0.14,6.814,578.795
7.0,0.3,0.85,0.98,0.14,1.07,0.0,0.0,0.0,0.0,0.26,4.732,575.963
6.0,0.28,0.93,0.92,0.18,0.96,0.0,0.0,0.0,0.0,0.11,3.896,557.213
5.0,0.31,1.02,1.11,0.22,1.04,0.0,0.0,0.0,0.0,0.16,3.201,593.29
7.0,0.34,1.01,1.1,0.28,0.81,0.0,0.0,0.0,0.0,0.15,9.174,609.23
7.0,0.29,1.03,1.16,0.24,0.84,0.0,0.0,0.0,0.0,0.16,4.413,571.089
7.0,0.3,0.86,1.19,0.22,0.92,0.0,0.0,0.0,0.0,0.16,3.181,582.988
6.0,0.32,1.05,0.92,0.17,0.82,0.0,0.0,0.0,0.0,0.19,23.81,565.342
7.0,0.28,0.92,1.16,0.19,0.98,0.0,0.0,0.0,0.0,0.24,7.371,556.1
7.0,0.28,0.91,1.09,0.13,0.85,0.0,0.0,0.0,0.0,0.15,7.911,546.601
6.0,0.33,1.03,1.17,0.18,1.07,0.0,0.0,0.0,0.0,0.21,22.989,595.689
6.0,0.3,0.81,1.15,0.19,0.94,0.0,0.0,0.0,0.0,0.23,25.773,516.036
6.0,0.31,0.92,1.13,0.13,1.08,0.0,0.0,0.0,0.0,0.11,5.732,587.963
5.0,0.34,1.09,1.07,0.22,0.95,0.0,0.0,0.0,0.0,0.23,3.003,618.557
5.0,0.33,1.06,1.09,0.1,0.86,0.0,0.0,0.0,0.0,0.13,4.805,603.948
7.0,0.3,1.08,1.16,0.1,0.86,0.0,0.0,0.0,0.0,0.26,31.48,507.997
5.0,0.32,0.92,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.19,4.888,594.6
